Month,Crime Type,Crime Count
November,NON-CRIMINAL (SUBJECT SPECIFIED),0
October,NON-CRIMINAL (SUBJECT SPECIFIED),0
September,NON-CRIMINAL (SUBJECT SPECIFIED),1
April,NON - CRIMINAL,1
August,NON - CRIMINAL,5
December,NON - CRIMINAL,1
February,NON - CRIMINAL,5
January,NON - CRIMINAL,2
July,NON - CRIMINAL,2
June,NON - CRIMINAL,9
March,NON - CRIMINAL,0
May,NON - CRIMINAL,4
November,NON - CRIMINAL,2
October,NON - CRIMINAL,2
September,NON - CRIMINAL,5
April,OBSCENITY,31
August,OBSCENITY,21
December,OBSCENITY,28
February,OBSCENITY,25
January,OBSCENITY,36
July,OBSCENITY,29
June,OBSCENITY,29
March,OBSCENITY,39
May,OBSCENITY,36
November,OBSCENITY,31
October,OBSCENITY,42
September,OBSCENITY,31
April,OFFENSE INVOLVING CHILDREN,2975
August,OFFENSE INVOLVING CHILDREN,3280
December,OFFENSE INVOLVING CHILDREN,2919
February,OFFENSE INVOLVING CHILDREN,2657
January,OFFENSE INVOLVING CHILDREN,4027
July,OFFENSE INVOLVING CHILDREN,3194
June,OFFENSE INVOLVING CHILDREN,3387
March,OFFENSE INVOLVING CHILDREN,3117
May,OFFENSE INVOLVING CHILDREN,3329
November,OFFENSE INVOLVING CHILDREN,2800
October,OFFENSE INVOLVING CHILDREN,3060
September,OFFENSE INVOLVING CHILDREN,3096
April,OTHER NARCOTIC VIOLATION,7
August,OTHER NARCOTIC VIOLATION,13
December,OTHER NARCOTIC VIOLATION,4
February,OTHER NARCOTIC VIOLATION,11
January,OTHER NARCOTIC VIOLATION,5
July,OTHER NARCOTIC VIOLATION,12
June,OTHER NARCOTIC VIOLATION,9
March,OTHER NARCOTIC VIOLATION,6
May,OTHER NARCOTIC VIOLATION,13
November,OTHER NARCOTIC VIOLATION,6
October,OTHER NARCOTIC VIOLATION,6
September,OTHER NARCOTIC VIOLATION,10
April,OTHER OFFENSE,29278
August,OTHER OFFENSE,30675
December,OTHER OFFENSE,24821
February,OTHER OFFENSE,26076
January,OTHER OFFENSE,28761
July,OTHER OFFENSE,30648
June,OTHER OFFENSE,30089
March,OTHER OFFENSE,29486
May,OTHER OFFENSE,31249
November,OTHER OFFENSE,26214
October,OTHER OFFENSE,29617
September,OTHER OFFENSE,27486
April,PROSTITUTION,4821
August,PROSTITUTION,5509
December,PROSTITUTION,3725
February,PROSTITUTION,4513
January,PROSTITUTION,4978
July,PROSTITUTION,5037
June,PROSTITUTION,4897
March,PROSTITUTION,4922
May,PROSTITUTION,5287
November,PROSTITUTION,4688
October,PROSTITUTION,5303
September,PROSTITUTION,5203
April,PUBLIC INDECENCY,9
August,PUBLIC INDECENCY,18
December,PUBLIC INDECENCY,8
February,PUBLIC INDECENCY,9
January,PUBLIC INDECENCY,5
July,PUBLIC INDECENCY,11
June,PUBLIC INDECENCY,16
March,PUBLIC INDECENCY,8
May,PUBLIC INDECENCY,10
November,PUBLIC INDECENCY,15
October,PUBLIC INDECENCY,7
September,PUBLIC INDECENCY,12
April,PUBLIC PEACE VIOLATION,3440
August,PUBLIC PEACE VIOLATION,3609
December,PUBLIC PEACE VIOLATION,2479
February,PUBLIC PEACE VIOLATION,2608
January,PUBLIC PEACE VIOLATION,2676
July,PUBLIC PEACE VIOLATION,3882
June,PUBLIC PEACE VIOLATION,4037
March,PUBLIC PEACE VIOLATION,3637
May,PUBLIC PEACE VIOLATION,4288
November,PUBLIC PEACE VIOLATION,2968
October,PUBLIC PEACE VIOLATION,3986
September,PUBLIC PEACE VIOLATION,3904
April,RITUALISM,0
August,RITUALISM,2
December,RITUALISM,2
February,RITUALISM,1
January,RITUALISM,1
July,RITUALISM,1
June,RITUALISM,0
March,RITUALISM,1
May,RITUALISM,0
November,RITUALISM,1
October,RITUALISM,3
September,RITUALISM,3
April,ROBBERY,14896
August,ROBBERY,20585
December,ROBBERY,18000
February,ROBBERY,11336
January,ROBBERY,15786
July,ROBBERY,20714
June,ROBBERY,18442
March,ROBBERY,13910
May,ROBBERY,18113
November,ROBBERY,18223
October,ROBBERY,20725
September,ROBBERY,19568
April,SEX OFFENSE,1503
August,SEX OFFENSE,1986
December,SEX OFFENSE,1183
February,SEX OFFENSE,1251
January,SEX OFFENSE,1718
July,SEX OFFENSE,2147
June,SEX OFFENSE,2091
March,SEX OFFENSE,1452
May,SEX OFFENSE,1932
November,SEX OFFENSE,1355
October,SEX OFFENSE,1708
September,SEX OFFENSE,1919
April,STALKING,217
August,STALKING,242
December,STALKING,181
February,STALKING,166
January,STALKING,217
July,STALKING,244
June,STALKING,255
March,STALKING,231
May,STALKING,242
November,STALKING,217
October,STALKING,240
September,STALKING,257
April,THEFT,89374
August,THEFT,117136
December,THEFT,86676
February,THEFT,69923
January,THEFT,83676
July,THEFT,117987
June,THEFT,105709
March,THEFT,84966
May,THEFT,101953
November,THEFT,93228
October,THEFT,108071
September,THEFT,107398
April,WEAPONS VIOLATION,4521
August,WEAPONS VIOLATION,5252
December,WEAPONS VIOLATION,3594
February,WEAPONS VIOLATION,3255
January,WEAPONS VIOLATION,4269
July,WEAPONS VIOLATION,5181
June,WEAPONS VIOLATION,4982
March,WEAPONS VIOLATION,4352
May,WEAPONS VIOLATION,5381
November,WEAPONS VIOLATION,4101
October,WEAPONS VIOLATION,5156
September,WEAPONS VIOLATION,5183
